source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
previous scrape,40.42483,-3.70189,Private room in rental unit,Private room,1,1.0,1.0,15.0,2,60,5.0
city scrape,40.42298,-3.70154,Entire rental unit,Entire home/apt,2,1.0,1.0,101.0,2,1125,4.67
city scrape,40.41401,-3.69486,Entire rental unit,Entire home/apt,3,1.0,1.0,61.0,2,1125,4.53
previous scrape,40.41092,-3.70777,Entire rental unit,Entire home/apt,3,1.0,2.0,30.0,30,1125,4.25
previous scrape,40.40788,-3.7017,Entire condo,Entire home/apt,4,1.0,2.0,56.0,2,90,4.14
previous scrape,40.43779,-3.67452,Entire rental unit,Entire home/apt,3,2.0,2.0,91.0,2,1120,4.5
previous scrape,40.42159,-3.67874,Private room in rental unit,Private room,1,1.0,1.0,25.0,7,1125,5.0
city scrape,40.47901,-3.63135,Private room in condo,Private room,2,1.0,1.0,38.0,1,1125,4.89
city scrape,40.40818,-3.69806,Entire rental unit,Entire home/apt,2,1.0,1.0,93.0,2,1125,4.69
city scrape,40.42226,-3.70383,Entire rental unit,Entire home/apt,4,2.0,3.0,133.0,1,1125,4.61
city scrape,40.39025,-3.71505,Entire condo,Entire home/apt,6,2.0,5.0,154.0,1,1125,4.2
city scrape,40.44963,-3.67164,Private room in home,Private room,2,1.0,2.0,60.0,4,1125,4.6
city scrape,40.42577,-3.71495,Entire rental unit,Entire home/apt,6,2.0,1.0,136.0,3,365,4.18
city scrape,40.41808,-3.69992,Entire rental unit,Entire home/apt,8,3.0,1.0,152.0,3,730,4.18
previous scrape,40.49483,-3.68965,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,5,1125,0.0
previous scrape,40.41913,-3.70196,Room in boutique hotel,Hotel room,2,1.0,1.0,37.0,2,18,4.0
previous scrape,40.43633,-3.63911,Entire rental unit,Entire home/apt,6,2.0,3.0,160.0,1,1125,5.0
city scrape,40.5069,-3.65573,Entire loft,Entire home/apt,4,1.0,2.0,90.0,4,80,4.85
previous scrape,40.42211,-3.71104,Private room in rental unit,Private room,2,1.0,1.0,38.0,2,1125,5.0
previous scrape,40.42522,-3.70385,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,2,5,4.83
previous scrape,40.42126,-3.70993,Private room in rental unit,Private room,2,1.0,1.0,40.0,2,1125,4.67
city scrape,40.39178,-3.71546,Entire rental unit,Entire home/apt,4,1.0,2.0,198.0,1,1125,5.0
previous scrape,40.36093,-3.754,Entire condo,Entire home/apt,5,3.0,6.0,72.0,4,1125,4.83
city scrape,40.45442,-3.70456,Entire rental unit,Entire home/apt,4,2.0,5.0,193.0,1,1125,5.0
city scrape,40.40582,-3.67544,Private room in rental unit,Private room,2,1.0,1.0,32.0,1,100,4.17
city scrape,40.42209,-3.6989,Entire loft,Entire home/apt,2,1.0,1.0,93.0,4,60,4.61
previous scrape,40.37726,-3.78179,Private room in rental unit,Private room,2,1.0,1.0,15.0,2,1125,5.0
previous scrape,40.42889,-3.70556,Private room in rental unit,Private room,2,1.0,1.0,20.0,4,1125,5.0
previous scrape,40.39567,-3.69862,Entire rental unit,Entire home/apt,4,2.0,2.0,99.0,2,1125,4.88
city scrape,40.42617,-3.70991,Private room in home,Private room,1,1.0,1.0,29.0,4,1125,5.0
