index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
1062,previous scrape,40.40013,-3.70194,2,1.0,1.0,0.17123287671232876,5,1125,4.0,1.0,0.0,0.0,0.0
1063,previous scrape,40.42241,-3.69487,2,1.0,1.0,0.1952054794520548,4,60,5.0,1.0,0.0,0.0,0.0
1064,city scrape,40.41176990819162,-3.706643356488356,8,4.0,5.0,0.4143835616438356,30,1124,4.73,1.0,0.0,0.0,0.0
1065,previous scrape,40.40121,-3.70233,1,1.0,1.0,0.08904109589041095,3,5,5.0,0.0,0.0,1.0,0.0
1066,city scrape,40.45036,-3.69596,4,2.0,2.0,0.3664383561643835,20,1125,4.0,1.0,0.0,0.0,0.0
1067,previous scrape,40.41539,-3.71207,2,1.0,1.0,0.2808219178082192,10,90,5.0,1.0,0.0,0.0,0.0
1068,previous scrape,40.43698,-3.6992,2,1.0,1.0,0.3150684931506849,3,1125,5.0,1.0,0.0,0.0,0.0
1069,city scrape,40.41967,-3.70072,4,2.0,4.0,0.6917808219178082,31,120,4.91,1.0,0.0,0.0,0.0
1070,city scrape,40.39586,-3.66562,2,1.0,1.0,0.2808219178082192,7,1125,4.5,1.0,0.0,0.0,0.0
1071,city scrape,40.41023,-3.69859,6,2.0,2.0,0.2876712328767123,30,1124,4.77,1.0,0.0,0.0,0.0
1072,city scrape,40.4542,-3.67716,1,1.0,1.0,0.0993150684931507,4,30,5.0,0.0,0.0,1.0,0.0
1073,city scrape,40.41598,-3.70487,2,1.0,1.0,0.40410958904109584,5,1125,4.79,1.0,0.0,0.0,0.0
1074,previous scrape,40.42433,-3.69949,2,1.0,1.0,0.16095890410958902,3,7,4.4,1.0,0.0,0.0,0.0
1075,city scrape,40.42233276367188,-3.70681095123291,2,1.0,1.0,0.0684931506849315,1,1125,4.45,0.0,0.0,1.0,0.0
1076,city scrape,40.41014,-3.71055,6,3.0,4.0,0.3458904109589041,6,64,4.67,1.0,0.0,0.0,0.0
1077,city scrape,40.43697,-3.70729,1,1.0,1.0,0.1267123287671233,9,90,5.0,0.0,0.0,1.0,0.0
1078,city scrape,40.42276,-3.705255,4,1.0,2.0,0.3732876712328767,1,1124,4.09,1.0,0.0,0.0,0.0
1079,city scrape,40.45654,-3.69588,1,1.0,1.0,0.13013698630136986,7,1125,4.53,0.0,0.0,1.0,0.0
1080,city scrape,40.40918,-3.73434,1,1.0,1.0,0.05136986301369863,1,1125,4.98,0.0,0.0,1.0,0.0
1081,previous scrape,40.41525,-3.70994,1,1.0,1.0,0.04794520547945205,3,1125,4.79,0.0,0.0,1.0,0.0
1082,previous scrape,40.41558,-3.71024,2,1.0,1.0,0.05821917808219178,2,8,4.71,0.0,0.0,1.0,0.0
1083,city scrape,40.41805,-3.70876,2,1.0,2.0,0.2808219178082192,4,1125,4.86,1.0,0.0,0.0,0.0
1084,city scrape,40.43539,-3.68222,4,1.0,2.0,0.19863013698630136,5,363,4.55,1.0,0.0,0.0,0.0
1085,city scrape,40.41097,-3.69479,1,1.0,1.0,0.09246575342465753,2,1125,4.65,0.0,0.0,1.0,0.0
